,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,"('데일리', 24.935294024485227)","('비수기', 12.057179996312124)","('민박', 8.752228407502203)","('카페', 8.499622505331669)","('예쁘다', 8.288733443602965)","('힐링', 8.074683432603463)","('사용', 7.9480404069551245)","('조용', 7.828400563750255)","('바다', 7.72324593676768)","('한옥', 7.684489809837887)","('숲', 6.479345568892888)","('인테리어', 5.919118274260104)","('분위기', 5.716973242765413)","('꾸미다', 5.341107391671329)","('가득', 5.254572758219836)","('한적', 5.245813784827844)","('보내다', 4.9215794037157545)","('마음', 4.779946460355078)","('운영', 4.776060267809384)","('책', 4.759083916506332)"
1,"('코', 1.20964809699917)","('취소', 1.20964809699917)","('터지다', 1.20964809699917)","('시국', 1.116861413069044)","('코로나', 1.116861413069044)","('빨리', 1.0259194138607315)","('작년', 1.0259194138607315)","('끝나다', 0.9362713155467332)","('해수', 0.9362713155467332)","('이쁘다', 0.8474520132109842)","('동남구', 0.8474520132109842)","('카페', 0.7590236988137503)","('가든', 0.7590236988137503)",,,,,,,
2,"('이쁘다', 20.41925190697371)","('태그해', 18.40205464368321)","('콘탠츠', 17.27387150368038)","('제작', 16.49884364575169)","('보내다', 16.06481235163775)","('오션뷰', 10.54331151537065)","('힐링', 6.218013349765479)","('요기', 6.186851808399677)","('핫', 5.936877701000646)","('바다', 5.843712734285374)","('바베큐', 5.819150795495323)","('야외', 5.418723052301292)","('인생', 5.260435568061594)","('샷', 4.939218175230081)","('프다', 4.618005965277799)","('풀장', 4.5202381507176765)","('스파', 4.134073711830698)","('짝꿍', 3.930393526779876)","('인피니티', 3.684579053704483)","('데이트', 3.6697512483511585)"
3,"('국내', 37.78431356833906)","('기록', 34.84267686956896)","('여행지', 24.570492920098797)","('예쁘다', 13.139589865372605)","('힐링', 10.73574351127415)","('수영장', 10.33780626499373)","('국내외', 9.878034530146346)","('그램', 8.36400662450383)","('가득', 8.330169465811244)","('핫', 7.625594313966871)","('한옥', 7.156236252097737)","('바다', 6.949418827427136)","('실', 6.791032724144193)","('커플', 6.212521660493157)","('인생', 5.870936911380489)","('인테리어', 5.771525944437545)","('조식', 5.68534682172055)","('샷', 5.609764172302821)","('가족', 5.537927443899532)","('바라보다', 5.441435228919143)"
4,"('한옥', 56.51945545236883)","('마당', 7.403442834557912)","('매력', 6.447264433961667)","('비수기', 6.117988092520302)","('현대', 5.781463953153268)","('넓다', 5.509172554759226)","('경상북도', 5.181394375970992)","('힐링', 5.074150221241952)","('고즈넉', 4.992802425158027)","('마을', 4.991818179341114)","('편안', 4.908045786964304)","('아름답다', 4.891272514523596)","('따뜻', 4.783000887587435)","('쉬다', 4.776649731628528)","('거실', 4.713629584570271)","('문', 4.683058951345555)","('여유', 4.604345522204709)","('가족', 4.535553403227486)","('아늑', 4.375765627875311)","('전통', 4.313381937176596)"
5,"('가득', 13.066737423740788)","('인테리어', 12.166679787734356)","('따뜻', 10.017353819322413)","('예쁘다', 9.951273554079085)","('소품', 9.415921687682243)","('침실', 8.53309771471552)","('거실', 7.224999156410908)","('카페', 6.948643646604961)","('아기자기', 6.727351206010846)","('화이트', 6.187223848910862)","('아늑', 6.008473076252454)","('식물', 5.994942732950067)","('매력', 5.953408583841335)","('주인장', 5.68094588343934)","('편안', 5.624637172834014)","('분위기', 5.57941277267268)","('감각', 5.44771388165695)","('햇살', 5.302178605704328)","('힐링', 5.054289170051441)","('계획', 5.050717335281296)"
6,"('바라보다', 22.47114557286466)","('바다', 20.28177819965627)","('소리', 16.106911305620482)","('비수기', 16.016684161179395)","('갖추다', 14.716089484896782)","('힐링', 14.560528065585256)","('꾸미다', 13.378995547344031)","('누리다', 12.807805865203774)","('마을', 12.567199356042469)","('조용', 12.118174137104905)","('주인장', 12.10758851040689)","('풍경', 12.002051765182847)","('오롯', 10.947128322715054)","('경남', 10.749917465110995)","('경상북도', 10.618139493158058)","('바람', 10.607316768899269)","('가족', 10.190615152407672)","('수영장', 10.11041979511465)","('주변', 9.67322227120898)","('친구', 9.465239798686707)"
7,"('수영장', 7.224090075581868)","('야외', 5.6053399526928285)","('숲', 5.484033633155842)","('카페', 5.1528469215314505)","('바다', 5.010606708292838)","('깔끔', 5.0077109221345255)","('사용', 4.987651259339811)","('해변', 4.827628378634301)","('이쁘다', 4.794644331654773)","('글램핑', 4.744108251101518)","('체험', 4.650313759080591)","('리', 4.611774347578682)","('바베큐', 4.565915745881867)","('가족', 4.426454524852189)","('파티', 4.348580012794538)","('친구', 4.082253681080293)","('걷다', 3.933700766837997)","('예쁘다', 3.77668910487075)","('소품', 3.6994495432623684)","('주차장', 3.6914490118122996)"
8,"('호캉', 19.96676123328397)","('계획', 19.374903059527135)","('가득', 16.872587398538467)","('수영장', 14.715943302311187)","('여유', 14.513251862279748)","('따뜻', 14.180644392509265)","('침실', 13.878458810533445)","('분위기', 13.775211702252836)","('넓다', 13.33351366863463)","('거실', 13.264322034687913)","('바베큐', 12.800774396230112)","('가족', 12.38320417691535)","('마음', 12.344001666551884)","('조식', 12.31185690685536)","('마당', 12.20436466208069)","('정원', 11.261415698167063)","('휴식', 11.203913842460208)","('문', 10.839235655530707)","('마을', 10.71412437536388)","('편안', 10.682987777396258)"
9,"('바다', 30.1050026124984)","('오션뷰', 25.960386458742136)","('수영장', 18.612956282823745)","('바라보다', 12.182121454063763)","('바베큐', 11.840513982884154)","('호캉', 9.417858798694747)","('멋지다', 9.119443299527658)","('계획', 8.55128852730715)","('카페', 8.305664958802879)","('힐링', 8.033348626646285)","('일출', 8.00701456521179)","('야외', 8.0052033021571)","('노을', 7.95240707435879)","('가족', 7.8797026477092365)","('프라이빗', 7.846586882313262)","('아름답다', 7.844886555789189)","('개별', 7.003063615537254)","('인피니티', 6.857005568034965)","('넓다', 6.775226734372409)","('하늘', 6.632056306853087)"
